etotapx4,etotapx*1000,bls_urbn,cutenure,educ_ref,inclass,marital1,region,vehq,fam_size,fincatax,fincatax*1000,age_ref,num_auto,renteqvx,inc_rank,no_earnr
6.4605,6460.5,1,1,15,8,1,2,2,2,52.89,52890,31,1,700,0.6289,2
26.8455,26845.5,1,1,17,9,1,1,2,5,234,234000,31,0,1200,0.9783,2
5.95675,5956.75,1,2,12,8,1,2,2,3,34.174,34174,75,2,1800,0.4022,1
8.8009,8800.9,1,1,11,5,1,3,2,2,21.265,21265,55,0,800,0.3166,1
103.808597,103808.597,1,1,13,9,2,3,0,1,96.599,96599,70,0,5039,0.8227,0
27.27925,27279.25,1,1,15,9,1,3,2,3,137.197,137197,46,1,1400,0.9167,2
26.50025,26500.25,1,1,14,9,5,1,0,1,77.2,77200,63,0,5039,0.7408,1
15.7632,15763.2,1,1,15,9,1,3,2,2,60.012,60012,54,1,750,0.8538,1
22.1283,22128.3,1,1,13,8,1,3,2,4,62.599,62599,33,0,1200,0.6442,2
10.49825,10498.25,1,1,15,7,4,3,2,3,41,41000,47,1,800,0.4683,1
12.5285,12528.5,1,1,10,7,1,4,4,5,45.3,45300,51,2,1200,0.5118,2
20.28125,20281.25,1,1,14,8,1,4,2,3,51.5,51500,30,1,2500,0.5491,2
3.0563,3056.3,2,2,11,4,2,2,1,1,12.169,12169,87,0,595,0.1217,1
20.89665,20896.65,1,2,16,7,1,4,1,2,39.422,39422,69,1,2632,0.4534,0
12.7434,12743.4,1,1,15,6,1,2,2,2,32.698,32698,66,2,1774,0.3763,0
16.46345,16463.45,1,1,17,9,2,2,1,1,74.439,74439,87,0,1200,0.7165,1
15.085314,15085.314,1,2,16,9,1,3,1,2,199.87,199870,57,1,2000,0.9694,1
4.2622,4262.2,1,1,11,4,1,2,0,3,17.436,17436,50,0,400,0.1988,0
